feed_item_code,crop_code,feed_item_name,dm_content,me_content,cp_content
65,2,Oats (Avena sativa) - grain IP,89,12.267324,13.6
66,3,Oats (Avena sativa) - green fodder,31,8.36,4
67,3,Oats (Avena sativa) - hay,85,7.48,3.5
68,3,Oats (Avena sativa) - hay OFR,85,7.48,3.5
69,2,Oats (Avena sativa) - hulls,92.4,5.317236,4.1
70,43,Oats (Avena sativa) - meal/cereal by-product,91,15.28182,16.2
71,3,Oats (Avena sativa) - silage,36.4,8.917884,12.7
72,2,Oats (Avena sativa) - straw,88,6.47,0
73,60,Orchard grass (Dactylis glomerata) - green fodder,27.4,8.624808,10.1
74,60,Orchard grass (Dactylis glomerata) - hay,90.6,8.16426,8.4
75,61,Orchard tree (Bauhinia variegata) - green leaves,42.85,7.49437,16.15
76,38,Panicum maximum (forage),26,7.543013699,9.882191781
77,38,Panicum maximum (green fodder),26,7.58,10
78,39,Paspalum notatum (forage),28,7.543013699,8.254794521
79,62,Pearl Millet (Pennisetum glaucum) - crop residue,86,9.462168,6.4
80,62,Pearl Millet (Pennisetum glaucum) - grain,90.34,12.43,13.88
81,63,Pearl Millet (Pennisetum glaucum) - green fodder,25,8.55,13.81
82,40,Pennisetum purpureum - forage,15,9.880848,11
83,41,Pennisetum purpureum - silage,19.5,7.5,6.5
84,42,Pigeon Pea (Cajanus cajan) - crop residue,91.69,7.996788,16.3
85,42,Pigeon Pea (Cajanus cajan) - meal,89.4,11.08,19.39
86,42,Pigeon Pea (Cajanus cajan) - seed,68.7,11.5,21.6
87,64,Pineapple (Ananas comosus) - crop residue,20.6,11.5137,9.1
88,64,Pineapple (Ananas comosus) - leaf silage,35.12,8.22,7.94
89,65,Potato (Solanum tuberosum) - peelings,15.44,10.25,6.96
90,65,Potato (Solanum tuberosum) - tuber,16.34,12.99,14.13
91,43,Poultry litter,78.7,8.16426,17.78
92,66,Pumpkin (Cucurbita maxima) - fruit,22.73,9.91,15.44
93,67,Red clover (Trifolium pratense) - green fodder,19.6,10.425132,20.8
94,67,Red clover (Trifolium pratense) - hay,88.4,8.331732,15
95,68,Rhodes grass (Chloris gayana) - forage,28.06,7.54,14.1
96,68,Rhodes grass (Chloris gayana) - hay,92.4,9.1,7.7
97,43,Rice (Oryza sativa) - bran (with germs),91,10.425132,14
98,45,Rice (Oryza sativa) - hulls,92,1.423512,3.1
99,45,Rice (Oryza sativa) - straw,91.88,5.64,3.85
100,69,Sesbania (Sesbania sesban) - green fodder,28.9,8.54,21.3
101,70,Smooth Broome (Bromus inermis) - green fodder,26.1,11.220624,21.3
102,70,Smooth Broome (Bromus inermis) - hay,92.6,8.038656,6
103,46,Sorghum (Sorghum bicolor) - crop residue,85,7.033824,4.9
104,47,Sorghum (Sorghum bicolor) - forage,27,8.57,3.7
105,46,Sorghum (Sorghum bicolor) - grain,90,12.392928,12.6
106,47,Sorghum (Sorghum bicolor) - silage,30,8.57,3.7
107,16,Soybean (Glycine max) - crop residue,88,6.322068,5.2
108,16,Soybean (Glycine max) - meal,89,13.18842,49.6
109,16,Soybean (Glycine max) - seed coats,90.3,12.476664,12.2
110,16,Soybean (Glycine max) - whole seed IP,86.4,14.23512,40.3
111,71,Stipa (grazing) OF,72,5.6,5
112,72,Stylo (Stylosanthes guianensis) - forage,19.42,9.545904,18.69
113,4,Sugar beet (pulp) OFR,89,11.4,8.9
114,43,Sugarcane (Saccharum officinarum) - BOUGHT,29,6.9,5.9
115,48,Sugarcane (Saccharum officinarum) - crop residue,96.27,7.44,3.69
116,48,Sugarcane (Saccharum officinarum) - forage,23.2,9,4.3
117,43,Sugarcane (Saccharum officinarum) - molasses,74.3,10.88568,5.8
118,48,Sugarcane (Saccharum officinarum) - tops (forage),29,6.9,5.9
119,48,Sugarcane (Saccharum officinarum) - tops (hay),85,7,5.5
120,20,Sulla,12.3,9.7,20.2
121,43,Sunflower (Helianthus annuus) - seed cake,94.9,9.127224,17.9
122,73,Sweet potato (Ipomoea batatas) -  leaves,10.8,10.01,19.4
123,73,Sweet potato (Ipomoea batatas) -  tubers (fresh),59,13.58,5.1
124,73,Sweet potato (Ipomoea batatas) -  tubers meal (dried),87.1,11.35,4.6
125,73,Sweet potato (Ipomoea batatas) -  vines,10.8,10.01,19.4
126,14,Tall fescue,21,9.11,8.9
127,74,Tomato (Lycopersicon esculentum) - waste fruits,44.08,7.43,21
128,53,Wheat (bran) IP,87,11,17.3
129,52,Wheat (bran) OFC,87,11,17.3
130,51,Wheat (straw),88,5.63,4.2
131,51,Wheat (straw) OFR,88,5.63,4.2
132,75,White sweet clover (Melilotus alba) - green fodder,15,9.1,22.5
142,36,Natural hay,60,5,6
133,40,Pennisetum purpureum- hay,86,9.88,11
134,55,Guatemala grass forage,20,10,19
135,3,Oats(Avena sativa)- bran,26,7.48,3.5
136,16,Soybean(Glycine max) straw,86,7,5.9
137,38,Panicum maximum (hay),,7.54,9.88
138,51,Wheat (bran),87,11,17.3
139,5,Brachiaria hay,86,7.25,8.25
140,56,Greenleaf desmodium(Desmodium intoturm),25,8,15
